noun,feucht,nass,translation
Seite,223,94,страница
Streifen,217,117,прокладка
Kleidung,211,799,одежда
Schwamme,209,182,губка
Herbst,208,445,осень
Straße,205,1155,улица
Wange,202,174,щека
Decke,196,372,потолок
Graben,196,1759,копать
Elementes,195,105,элемент
Spur,194,147,трек
Heu,188,118,сено
Löschpapier,173,110,промокательной бумага
Dreck,173,51,грязь
Compresse,172,167,compresse
Aufwischen,165,80,подтирать
Wattebausch,154,67,ватным тампон
Putz,150,77,штукатурка
Beton,147,81,бетон
Deposition,147,1090,deposition
Wolle,143,169,шерсть
Pappe,142,113,картон
Lake,141,405,озеро
Gesicht,136,417,лицо
Theile,132,50,часть
Mörtel,129,75,раствор
Mund,128,52,рота
Pulver,127,110,порошок
Waschlappen,123,174,мочалка
Feld,119,337,пол
Futter,112,160,корма
Schwammes,111,82,губка
Einwicklungen,111,102,einwicklungen
Filter,104,140,фильтр
Bett,104,85,кровать
Abreibung,102,290,растирание
Brei,101,44,каша
Taschentuch,100,111,платок
Grube,99,50,ям
Baumwolle,98,91,хлопок
Jahrgang,96,321,винтаж
Stück,91,152,шт
Garten,91,44,сад
Untergrunde,90,45,под основный
Läppchen,89,44,тряпочка
Pflaster,88,223,пластырь
Bodenarten,86,43,типы почва
Sache,79,780,дело
Verfahren,79,1313,процедура
Asphalt,78,631,асфальт
Iahreszeit,74,448,iahreszeit
Strähne,72,86,прядь
Bogen,72,60,лука
Ware,70,52,товар
Iahren,67,257,iahren
Scheibe,63,42,диск
Frühling,62,51,весна
Mantel,58,380,пальто
Fußboden,57,71,половина
Binde,55,115,бинт
Sack,54,875,мешок
Acker,54,66,пашня
Lager,53,57,подшипник
Flügel,48,50,крыло
Einwickelungen,48,215,заверточных поворот
Klamotte,46,264,klamotte
Moor,46,57,moor
Kalk,43,313,известь
Fuß,43,3151,нога
Rücken,42,75,спина
Kammer,17080,0,палата
Wärme,6187,0,тепло
Leiter,4880,0,глава
Atmosphäre,4857,0,атмосфера
Verband,3198,0,ассоциация
Wohnung,3068,0,квартира
Hitze,2986,0,жара
Gebiet,2593,0,область
Tropen,2564,0,тропик
Rasselgeräusche,1614,0,хрип
Dunst,1595,0,дымка
Rassel,1352,0,погремушка
Glanz,1313,0,блеск
Brand,1155,0,абсолютно
Luftmasse,1040,0,воздушная масса
Milieu,1004,0,среда
Gas,803,0,газ
Getreide,778,0,крупа
Elektrode,725,0,электрод
Zone,710,0,зона
Substanz,680,0,вещество
Teil,677,0,часть
Glocke,635,0,колокол
Medium,634,0,носитель
Kompresse,630,0,компресс
Beschaffenheit,626,0,текстура
Unterlage,609,0,коврик
Klimaten,594,0,климат
Gangrän,557,0,гангрена
Substrat,554,0,субстрат
Zimmer,500,0,номер
Tropenklima,499,0,тропический климат
Kühle,490,0,холодное
Schimmer,480,0,мерцание
Urwald,445,0,джунгли
Lagerung,420,0,хранение
Schwinge,405,0,маятник
Rasselgeräuschen,399,0,погремушка шум
Höhle,383,0,пещера
Präparat,376,0,препарат
Gewebe,375,0,ткань
Loch,370,0,отверстие
Region,347,0,регион
Kellerwohnung,340,0,квартира подвал
Seeluft,333,0,морской воздух
Stärke,329,0,толщина
Temperatur,327,0,температура
Sandboden,326,0,песчаное дный
Schlucht,324,0,ущелие
Ebene,319,0,уровень
Form,318,0,форма
Kehricht,318,0,сор
Mauerwerk,316,0,кладка
Natur,312,0,природа
Packung,306,0,упаковка
Tal,290,0,долина
Schatten,284,0,тенить
Seewinde,284,0,seewinde
Luftschicht,282,0,воздушный слый
Tiefe,281,0,глубина
Zelle,281,0,клетка
Wundbehandlung,280,0,рана
Luftstrom,276,0,воздушный поток
Schleimhaut,275,0,слизистая оболочка
Meeresluft,274,0,морской воздух
Hauch,264,0,слойка
Gewölbe,259,0,свод
Schwüle,256,0,духота
Ausdünstung,248,0,выдыхание
Traum,247,0,мечта
Norden,245,0,север
Nachtluft,241,0,ночной воздух
Belag,240,0,колодка
Kuss,233,0,поцелуй
Gaze,232,0,марлевый
Membrane,231,0,мембрана
Ufer,230,0,берег
Thälern,226,0,thälern
Weib,224,0,женщина
Kellerraum,221,0,подвальное помещение
Klimate,216,0,климат
Mulde,211,0,лотковый
Husten,206,0,кашель
Hülle,202,0,чехол
Sauerstoff,195,0,кислород
Gegenstand,192,0,предмет
Bereich,188,0,область
Seeklima,188,0,морской климат
Stickstoff,187,0,азот
Geruch,186,0,запах
Membran,185,0,мембрана
Kohlensäure,183,0,угольная кислота
Busch,181,0,куст
Wickel,180,0,пеленальный
Schnauze,179,0,морда
Gartenerde,179,0,садовую землить
Westwind,178,0,westwind
Haus,177,0,дом
Grün,173,0,зелёный
Terrain,170,0,terrain
Tropengebieten,169,0,тропических район
Kerker,168,0,подземелье
Nahrung,168,0,еда
Luftströmung,167,0,воздушные поток
Tupfer,165,0,тампон
Gestein,164,0,порода
Silberoxyd,151,0,silberoxyd
Thäler,147,0,входа в отель начинаются пеший
Blutschorf,146,0,кровь scurf
Dunkel,144,0,темно
Atem,142,0,дыхание
Eiche,142,0,дуб
Gang,141,0,шестерня
Staub,139,0,пыль
Substraten,135,0,субстрат
Osten,134,0,восток
Verhältnis,131,0,отношение
Duft,130,0,аромат
Tropenwald,126,0,тропический лес
Lokalität,126,0,местность
Blase,126,0,пузырь
Kasematten,125,0,каземат
Bergwald,125,0,горный лес
Handfläche,122,0,ладонь
Rhonchi,121,0,rhonchi
Subtropen,119,0,субтропики
Asche,117,0,пепел
Waldstellen,116,0,леса представлять
Schwämmchen,115,0,губка
Waldungen,114,0,роща
Rand,108,0,край
Wiesengrund,106,0,wiesengrund
Aufbewahrung,105,0,хранение
Aussprache,103,0,произношение
Wimper,98,0,ресница
Kaste,96,0,каста
Wasserstoff,96,0,водород
Wohnraum,95,0,жильё
Abreiben,93,0,протереть
Charakter,92,0,персонаж
Kellerluft,91,0,подвал воздух
Sphagnum,89,0,sphagnum
Humus,89,0,перегной
Sägespähnen,88,0,пила стружка
Lackmuspapier,88,0,лакмусовая бумага
Bodenschicht,87,0,слой почва
Asepsis,85,0,асептика
Localitäten,84,0,locali сделать
Morgen,83,0,завтра
Substrate,83,0,субстрат
Theilen,83,0,theilen
Aussehen,81,0,внешний вид
Fibrin,79,0,фибрин
Weste,77,0,жилет
Abwischen,76,0,wipe
Süd,76,0,юг
Thale,76,0,тала
Himmel,75,0,небо
Gewächshaus,74,0,парник
Süden,74,0,юг
Wundmilieu,74,0,раневую среда
Salz,73,0,соль
Abend,73,0,вечером
Flussniederung,72,0,река
Rippenfellentzündung,72,0,плеврит
Clima,72,0,clima
Pampa,71,0,пампа
Torfmull,71,0,торф малл
Stall,70,0,конюшня
Abhang,69,0,склон
Dämmerung,68,0,сумерки
Weite,68,0,раздолье
Schmutz,67,0,грязь
Bodenverhältnis,66,0,пол соотношение
Biotop,66,0,биотоп
Ackererde,65,0,пахотные землить
Tiefland,65,0,низменность
Seewinden,65,0,мосток
Klimazone,65,0,климатической зон
Warmluft,64,0,теплый воздух
Fleisch,64,0,мясо
Umhüllung,64,0,сервировка
Tropenland,63,0,тропической страна
Hang,63,0,hang
Spiegel,63,0,зеркало
Pflanze,63,0,растение
Variante,62,0,вариант
Tropengegenden,62,0,тропических район
Küstengebiet,61,0,прибрежная зон
Stufe,61,0,уровень
Geräusch,61,0,шум
Klumpen,61,0,комочек
Chlor,60,0,хлор
Senke,60,0,приёмник
Wasser,60,0,вода
Schnittfläche,60,0,площадь сечение
Stube,60,0,stube
Mondesstrahlen,59,0,лунные лучить
Küste,59,0,побережье
Küstenklima,58,0,климат побережье
Vertiefung,57,0,углубление
Erdreiche,57,0,их охрана
Dunkelheit,57,0,темнота
Landstrich,56,0,полоса землить
Waldwiese,55,0,поляна
Waldgebiet,55,0,лес
Raumluft,55,0,воздуха в помещение
Landschaft,54,0,пейзаж
Schwaden,54,0,валка
Schoß,54,0,всход
Wisch,54,0,стеклоочиститель
Fliesspapiers,54,0,стоячая бумага
Glasglocke,54,0,cloche
Winkel,54,0,угол
Substrates,54,0,субстрат
Händedruck,53,0,рукопожатие
Same,53,0,same
Felswand,53,0,скал
Wandungen,53,0,стенка
Kultur,53,0,культура
Laubwald,53,0,лиственный лес
Höhe,52,0,высота
Erdschicht,52,0,он построить
Rückstand,52,0,остаток
Verbande,52,0,общественных объединение
Grotte,52,0,грот
Gelatine,52,0,желатина
Einwicklung,52,0,потенцирование
Savanne,51,0,саванна
Ufersand,51,0,берег песок
England,50,0,англия
Zimmerluft,50,0,номер воздух
Nordwesten,49,0,северо-запад
Dunste,49,0,dunste
Kellergeschoss,48,0,подвал
Schmelz,48,0,эмаль
Küstengegend,48,0,приморском район
Gebirge,48,0,гора
Klimabedingung,47,0,климатические условие
Warme,47,0,тёплый
Gürtel,47,0,пояс
Glut,46,0,уголёк
Wiesengründen,46,0,указал причина
Tropenklimas,46,0,тропического климат
Regenwald,45,0,тропический лес
Windzug,45,0,порыв ветр
Strand,45,0,пляж
Kellerloch,44,0,подвал отверстие
Partie,44,0,матч
Sommermonat,44,0,летний месяц
Filtrierpapiers,44,0,бумага для бумага
Mehl,43,0,мука
Ecke,43,0,уголок
Stallung,43,0,положение
Tropenluft,42,0,тропический воздух
Niederschlage,42,0,низшее предлагать
Bodenstelle,41,0,пол место
Rinde,41,0,кора
Südwind,41,0,южный ветер
Thonboden,41,0,thonboden
Finsternis,40,0,тьма
Abendluft,40,0,вечерний воздух
Gemenge,40,0,мордобой
Aue,40,0,aue
Aufbereitung,10,1147,подготовка
Schuh,10,635,обувь
Dreieck,10,620,треугольник
Fahrbahn,10,581,проезжей часть
Hose,10,534,брюки
Grenze,10,533,граница
Leintuch,10,510,характерный
Windel,10,468,пелёнка
Kollodiumverfahren,10,449,коллодионный способ
Schnitzel,10,385,шницель
Hund,10,366,собака
Zeug,10,356,вещий
Gewand,10,328,облачение
Strumpf,10,285,чулок
Fetzen,10,277,клок
Fäule,10,273,гниль
Fell,10,260,мех
Hemd,10,253,рубашка
Tod,10,238,смерть
Stiefel,10,231,сапог
Verbrennung,10,212,сгорание
Kollodiumplatten,10,206,коллодия пластина
Gasmesser,10,170,gasmesser
Socke,10,163,носка
Kollodiumplatte,10,155,коллодия пластина
Methode,10,151,метод
Kleidungsstück,10,143,одежда
Arbeit,10,140,работа
Kollodiumverfahrens,10,136,коллодий процедура
Reisfeld,10,135,рисовое поль
Gasuhren,10,130,газовыми счетчик
Flocke,10,117,снежинка
Kollodium,10,113,коллодий
Bild,10,111,изображение
Zweig,10,109,филиал
Pudel,10,107,пудель
Kopf,10,103,голова
Badeanzug,10,89,купальник
Gut,10,88,хорошо
Lump,10,82,lump
Jacke,10,76,куртка
Gasmessern,10,73,gasmessern
Frühjahren,10,72,ранние года
Zehnte,10,72,десять
nacht,10,67,ночь
Katze,10,67,кошка
Flanke,10,67,фланг
Schirm,10,64,экран
Veraschung,10,63,озоление
Badehose,10,59,купальник
Rock,10,55,юбка
Gasuhr,10,54,газовый счетчик
Strecke,10,50,маршрут
Hut,10,47,шляпа
Herbsten,10,47,терпкий самый
Uniform,10,46,униформа
Fliese,10,46,плитка
Aug,10,46,aug
Mai,10,46,май
Pfote,10,46,лапа
Regenmantel,10,45,плащ
Biwak,10,45,бивуак
Schützengraben,10,44,траншея
Einfluss,10,43,влияние
Kies,10,43,гравий
Schneeflocke,10,42,снежинка
Jammer,10,42,джаммера
Leib,10,42,тело
