noun,teplyj,goryachij,colour,code
облако,1649,321,black,other
капля,1625,1027,black,other
цвет,1575,233,#f425a7,color
лежанка,1566,46,#2abed1,space
пора,1554,14861,#1ac7ff,time
юг,1545,51,#2abed1,space
строка,1507,836,#ae1e98,text
душа,1507,2497,#9017d9,hum
пожелание,1489,4369,#7ba3e3,speech
краска,1478,1394,#a81a64,impact
отзыв,1462,206,#7ba3e3,speech
дух,1453,665,#4c2d3f,smell
влага,1428,688,#c93008,stuff
душ,1383,3000,#224f41,tool
струйка,1360,903,black,other
забота,1353,1083,#49a740,inter:содействие
палец,1338,1623,#224f41,tool
благодарность,1311,14455,#7ba3e3,speech
сторона,1307,1045,#403c70,asp:ment
фаза,1295,305,black,other
стена,1274,178,#c34508,form/quant:max
ливень,1264,95,#c93008,stuff
ласка,1217,527,#1ee690,animal
река,1156,180,#e6753a,quant:max
поверхность,1155,3156,#2abed1,space
почва,1126,170,#66bbc5,stuff/space
сырость,1086,49,black,other
участок,1081,3092,#4732db,org
озеро,1037,478,#5ddcb4,space/reservoir
зола,1034,5449,#c93008,stuff
внимание,1024,280,#753341,ment
кожа,1000,543,#c93008,stuff
жизнь,973,1120,#a4f81f,be:exist
беседа,964,1091,#7ba3e3,speech
речь,948,15341,#7ba3e3,speech
водка,943,196,#00b7e6,stuff/food/liq
тишина,942,94,#55a325,sound/neg
пиво,934,71,#00b7e6,stuff/food/liq
выражение,927,618,#ae1e98,text
шея,925,273,black,other
огонь,922,936,#4f64bb,manif:disease
симпатия,907,13150,#278aca,hum:kin$/hum
долина,906,77,#2abed1,space
снег,900,1088,#577db1,weather
деформация,891,8189,black,other
жидкость,889,3710,#94dd20,stuff/liq
денек,885,641,black,other
темнота,864,177,#9017d9,hum
щека,847,3871,black,other
электрон,837,21013,black,other
объятие,835,1788,#ab3852,контакт
дым,831,1234,#c93008,stuff
водичка,828,169,black,other
очаг,821,179,#2abed1,space
переход,812,601,#443b5b,space/constr
пол,800,79,#2abed1,space
баня,797,1658,#68a7d7,org/constr:@build
мгла,781,72,#caecb5,light/neg
блеск,773,1358,#c93008,stuff
вагон,771,57,#7cddba,tool:transp
человек,768,2418,#9017d9,hum
аромат,768,67,#4c2d3f,smell
мясо,762,1187,#c93008,stuff
шерсть,759,61,#c93008,stuff
сон,752,116,#622344,physiol
навоз,749,196,#c93008,stuff
пятно,735,9268,black,other
вихорь,724,383,black,other
радость,716,1384,#2cb76f,hum@$
ящик,716,1564,#4732db,org
тьма,714,246,#edb63f,numcoll
плита,712,2778,#2abed1,space
труба,700,855,#10658e,tool:mus
грусть,693,59,#efbb2b,psych:emot
сияние,686,185,#4c8d26,light
пепел,686,1953,#c93008,stuff
состояние,663,15373,#668d09,psych/physiol
прикосновение,662,358,#ab3852,контакт
масло,658,3687,#c93008,stuff
вино,653,4732,#00b7e6,stuff/food/liq
батарея,650,72,#1c7167,form/кол-во
пища,649,25156,#3f56b0,food
мир,638,51,#552824,inter
н,626,145,black,other
тельце,624,59,#c93008,stuff
асфальт,616,2262,#2abed1,space
крыло,607,48,black,other
кирпич,605,1290,#18f17e,sign
водица,603,60,black,other
память,603,186,#753341,ment
привязанность,594,3493,#2ec004,psych
она,587,55,black,other
конец,586,1849,#e6781d,be:disapp
дерево,585,49,#c93008,stuff
спина,579,588,black,other
плоть,578,59,#c93008,stuff
язык,575,1182,#9017d9,hum
среда,563,1106,#2abed1,space
отклик,557,30435,#7ba3e3,speech
колено,546,92,#ee539b,move
нога,543,389,black,other
ручей,540,68,#5ddcb4,space/reservoir
морда,537,97,black,other
ствол,532,336,#224f41,tool
питие,524,475,black,other
пойло,520,130,#00b7e6,stuff/food/liq
стенка,520,2672,#632e34,tool:furn
живот,519,165,#a4f81f,be:exist
настой,517,457,#94dd20,stuff/liq
берег,511,67,#2abed1,space
цветок,508,232,#0f0f0c,plant
мольба,500,1493,#7ba3e3,speech
крыша,485,110,black,other
мед,473,252,#00b7e6,stuff/food/liq
роса,472,52,#c93008,stuff
подушка,449,444,#224f41,tool
плазма,445,14492,#c93008,stuff
тяжесть,443,186,#5f5ade,thing
комок,442,736,black,other
след,437,40068,#00e805,остаток
ток,435,427,#2abed1,space
доска,433,123,#224f41,tool
полоса,431,1452,#462b14,time:period
страница,428,67,#462b14,time:period
воск,426,1226,#c93008,stuff
ручка,422,426,#440845,tool:instr
сок,419,63,#00b7e6,stuff/food/liq
мрак,416,75,#caecb5,light/neg
город,413,61,#2abed1,space
звезда,400,17562,#457d1c,sign/form
проводы,393,67,#08c91a,action
зерно,386,117,#3f56b0,food
компресс,384,1007,#224f41,tool
испарение,383,52,#c93008,stuff
машина,374,52,#7cddba,tool:transp
рукопожатие,364,150,#ad9694,impact?/inter?
отвар,358,373,#00b7e6,stuff/food/liq
лепешка,355,2468,#e4c75c,food/изделие
солома,354,46,#bc6eb4,food:fodder
образ,353,410,#cedbd8,asp
суп,350,4297,#2f597c,stuff/food/liq/блюдо
нежность,348,581,#7ba3e3,speech
грязь,342,321,#c93008,stuff
камера,342,2677,#2abed1,space
промывка,340,470,black,other
признательность,339,4642,#efbb2b,psych:emot
яйцо,337,106,#3f56b0,food
газ,336,22570,#c93008,stuff
звук,331,125,#de65c7,speech?
спирт,326,5977,#c93008,stuff
лицо,325,2761,#2abed1,space
надежда,315,1679,#9017d9,hum
глубина,315,43,#178329,degr
синева,314,53,#f425a7,color
голова,312,23487,#9017d9,hum
ребята,309,52,black,other
степь,303,457,#2abed1,space
бульон,302,1909,#2f597c,stuff/food/liq/блюдо
заступник,293,112,#9017d9,hum
капот,290,73,black,other
припарка,287,253,#c93008,stuff
статья,286,1060,#3f1966,hier
металл,285,5708,#c93008,stuff
утюг,279,3936,#b71548,tool:device
кофе,264,9049,#0f0f0c,plant
песочек,264,51,black,other
полдень,263,388,#2abed1,space
каша,258,2701,#753341,ment
пирожок,257,3101,#af3e17,tool:cloth
мука,252,103,#c93008,stuff
блик,249,54,#4c8d26,light
смесь,248,2260,#c93008,stuff
нутро,246,71,#2abed1,space
послание,243,42,#ae1e98,text
марево,237,537,#c93008,stuff
речка,234,49,#5ddcb4,space/reservoir
способ,229,3919,#cedbd8,asp
характер,226,1357,black,other
сила,225,652,#e6753a,quant:max
ощущение,219,64,#2ec004,psych
ухо,218,134,#224f41,tool
отблеск,217,55,black,other
волочение,216,265,black,other
картошка,215,4638,#0f0f0c,plant
жижа,211,63,#94dd20,stuff/liq
духовка,204,1826,#b71548,tool:device
разговор,203,2832,#7ba3e3,speech
лоб,200,4029,#9017d9,hum
впечатление,197,306,#753341,ment
полотенце,195,71,#1bfa57,linen/tool
пожатие,195,71,black,other
истома,194,53,#2ec004,psych
поле,193,691,#2abed1,space
кусок,187,556,black,other
нос,183,122,black,other
брызги,182,58,#c93008,stuff
галька,181,519,#e80025,stone
печурка,180,54,#b71548,tool:device
парок,179,70,black,other
счастие,173,99,black,other
глина,172,64,#c93008,stuff
лед,166,393,#c93008,stuff
июль,164,56,#7f25d8,time:month
ручеек,164,129,black,other
мысль,160,971,#753341,ment
лист,160,79,#b26e28,doc
хвоя,158,163,black,other
п,158,65,black,other
похлебка,158,1507,#00b7e6,stuff/food/liq
бензол,157,2182,#94dd20,stuff/liq
час,157,1011,#462b14,time:period
он,155,1202,#278aca,hum:kin$/hum
влажность,155,54,black,other
усердие,153,235,#fbebdf,behav
поцелуй,152,3478,#4df2db,воздействие на человека
обращение,152,47,#f85d3d,word
круг,150,53,#995bc7,form
асфальтобетон,149,123,black,other
булочка,149,282,black,other
ноздря,146,49,black,other
закат,144,52,#4c8d26,light
пламень,142,1686,black,other
рот,141,807,#9017d9,hum
лоно,139,57,black,other
булка,139,57,#e4c75c,food/изделие
интерес,138,7054,#753341,ment
дрожь,138,236,#622344,physiol
перо,137,57,#440845,tool:instr
сироп,136,1209,#00b7e6,stuff/food/liq
стих,132,209,#707c6e,psych:emot?
родник,131,75,#1e58e8,space/spring
буханка,130,95,#e4c75c,food/изделие
еда,129,2167,#3f56b0,food
щи,128,3345,#00b7e6,stuff/food/liq
грелка,124,239,#224f41,tool
ручонка,123,64,black,other
ком,123,175,black,other
шепот,123,2738,#888d4a,sound
движение,122,74,#ee539b,move
желание,122,30704,#ea2629,psych:volit
испарина,120,54,#c93008,stuff
материя,119,43,#c93008,stuff
пирог,119,1154,#e4c75c,food/изделие
пена,118,69,#c93008,stuff
стекло,117,799,#c93008,stuff
дорога,116,359,#ee539b,move
бедро,115,113,black,other
румянец,114,1168,#f425a7,color
локоть,113,59,#97dac2,unit
ацетон,112,1162,#94dd20,stuff/liq
точка,111,48643,#742b6d,предел
материал,111,1147,#c93008,stuff
листва,109,48,black,other
пара,107,604,#ce9944,schoolmark
бурда,106,122,#00b7e6,stuff/food/liq
варево,106,640,#00b7e6,stuff/food/liq
учасие,106,455,black,other
трубка,105,55,#224f41,tool
слезинка,105,78,black,other
пот,104,3047,#c93008,stuff
поддержка,103,25668,#4df2db,воздействие на человека
начало,103,48,#cedbd8,asp
искра,99,794,#fe0828,manif
смола,99,2032,#9017d9,hum
энергия,98,70,black,other
капелька,98,72,#9017d9,hum
жалость,97,164,#efbb2b,psych:emot
минута,95,1464,#97dac2,unit
тесто,95,68,#c93008,stuff
регион,94,52,#2abed1,space
осколок,92,677,black,other
порыв,91,2161,#a81a64,impact
бутылка,90,351,#97dac2,unit
спасибо,89,1145,#7ba3e3,speech
денечек,88,601,black,other
эфир,84,106,#c93008,stuff
фраза,83,120,#7ba3e3,speech
теснота,82,68,#3277f9,physiol:@painful
взор,82,44,#9839e4,ment?
чайник,81,1465,#9017d9,hum
дно,80,46,black,other
женщина,78,79,#9017d9,hum
сквозняк,77,44,#577db1,weather
ужин,76,1417,#3f56b0,food
напиток,75,4800,#00b7e6,stuff/food/liq
броня,74,100,#c93008,stuff
обработка,73,10019,black,other
пистолет,70,47,#262ca3,tool:weapon
радиатор,69,63,#b71548,tool:device
строчка,67,48,#a81a64,impact
пальчик,66,58,black,other
шум,65,50,#888d4a,sound
железо,62,1935,#c93008,stuff
переписка,62,63,#552824,inter
звон,62,197,#7ba3e3,speech
кусочек,62,44,black,other
метанол,61,1090,black,other
салфетка,61,107,#005c4c,linen
кольцо,61,107,#be981e,put
свинец,61,979,#c93008,stuff
упование,61,185,#753341,ment
грунт,60,44,#c93008,stuff
пустота,60,75,#2abed1,space
искренность,60,354,black,other
сталь,59,118,#c93008,stuff
красота,59,66,black,other
борщ,58,1565,#2f597c,stuff/food/liq/блюдо
простыня,57,50,#2badea,tool:@bedding/linen
висок,56,117,black,other
волнение,56,265,#efbb2b,psych:emot
биение,55,382,#1c7c9c,physiol?
парень,55,541,#278aca,hum:kin$/hum
печень,55,52,black,other
уважение,55,67,#707c6e,psych:emot?
реакция,54,417,#622344,physiol
трепет,54,57,#efbb2b,psych:emot
р,54,151,black,other
костер,53,64,#2abed1,space
аплодисменты,53,4022,#888d4a,sound
уголь,53,9586,#224f41,tool
жир,51,776,#c93008,stuff
отделение,51,54,#4732db,org
толчок,49,223,#4a7a97,причина
цех,48,22915,#4732db,org
компот,48,45,#00b7e6,stuff/food/liq
котлета,48,168,#aae15f,food/блюдо
нрав,48,1131,black,other
тропинка,47,46,#2abed1,space
высказывание,46,72,#ae1e98,text
форма,46,257,#224f41,tool
затылок,46,64,#2abed1,space
пары,45,967,black,other
игла,45,56,#f1c5e4,hair$
духота,45,47,#577db1,weather
храп,45,43,#2abed1,space
покрытие,45,73,#7b7128,stuff/tool
гора,44,47,#2abed1,space
контакт,44,120,#ff6d50,contact
вещество,43,922,#c93008,stuff
песня,43,43,#888d4a,sound
слюна,43,145,#94dd20,stuff/liq
рассол,43,1105,#c93008,stuff
вонь,43,54,black,other
скала,42,62,#2abed1,space
кружка,42,463,#224f41,tool
горло,42,48,black,other
они,41,100,black,other
головка,41,151,#682522,group
въры,40,43,black,other
воз,40,58,#7cddba,tool:transp
я,40,101,#9017d9,hum
одежда,41213,10,#c93008,stuff
погода,34830,10,#577db1,weather
вещь,33954,10,#ef3b43,workart/workmus/workdram/workcin/text
климат,29217,10,#c26f34,asp:weather
помещение,13752,10,#be981e,put
зима,13438,10,#00d32e,time/time:season
течение,13326,10,#ee539b,move
комната,12267,10,#58901e,room
местечко,9963,10,#2abed1,space
страна,9662,10,#2abed1,space
платок,9638,10,#1a1666,linen/access
вечер,8624,10,#08c91a,action
одеяло,8061,10,#92d590,tool:@bedding
сезон,8033,10,#462b14,time:period
дом,7718,10,#4732db,org
белье,6913,10,black,other
пальто,6649,10,#af3e17,tool:cloth
церковь,6461,10,#b8eabd,constr
полугодие,6208,10,#1ac7ff,time
весна,5503,10,#00d32e,time/time:season
изба,5244,10,#9309c5,constr:@build
куртка,4075,10,#af3e17,tool:cloth
угол,4061,10,#2abed1,space
район,3993,10,#2abed1,space
компания,3876,10,#4732db,org
носок,3799,10,#af3e17,tool:cloth
сектор,3528,10,black,other
платье,3523,10,#af3e17,tool:cloth
шуба,3480,10,#f1c5e4,hair$
обмундирование,3069,10,black,other
квартира,2922,10,#2abed1,space
эпоха,2853,10,#80ee8d,time:age/time:period
половина,2758,10,#8ce9c1,hum:kin
халат,2587,10,#af3e17,tool:cloth
юмор,2566,10,#5dbda0,humq
хата,2461,10,black,other
сапог,2401,10,#ff69f2,tool:cloth:@boot
гнездо,2385,10,#682522,group
шаль,2280,10,#af3e17,tool:cloth
шарф,2196,10,#55b9bc,tool:cloth/access
утро,2174,10,#08c91a,action
дождик,1984,10,#c93008,stuff
обувь,1970,10,black,other
условие,1782,10,#4a7a97,причина
уголок,1758,10,#18f17e,sign
свитер,1654,10,#af3e17,tool:cloth
кофта,1621,10,#af3e17,tool:cloth
перчатка,1444,10,#b92300,tool/tool:cloth$
оттенок,1441,10,#f425a7,color
храм,1424,10,#2abed1,space
жилье,1390,10,#58901e,room
океан,1387,10,#5ddcb4,space/reservoir
гараж,1297,10,#b8eabd,constr
пояс,1279,10,#2abed1,space
парник,1265,10,black,other
рукавица,1261,10,#af3e17,tool:cloth
шинель,1253,10,#af3e17,tool:cloth
гнездышко,1253,10,black,other
сени,1236,10,#58901e,room
землянка,1187,10,#58901e,room
чулок,1132,10,#83415f,форма
гостеприимство,1121,10,black,other
валенок,1061,10,#ff69f2,tool:cloth:@boot
труп,1042,10,black,other
огонек,1015,10,#c93008,stuff
кабинет,977,10,#682522,group
портянка,967,10,#af3e17,tool:cloth
кухня,958,10,#3f56b0,food
нотка,940,10,black,other
мех,926,10,#c93008,stuff
жилище,914,10,#9309c5,constr:@build
надпись,914,10,#ae1e98,text
сумерки,907,10,#4b70da,weather/light
колорит,886,10,#f425a7,color
ладошка,884,10,black,other
кров,872,10,#2abed1,space
придел,871,10,#58901e,room
полушубок,868,10,#af3e17,tool:cloth
фуфайка,862,10,#af3e17,tool:cloth
хлев,851,10,#58901e,room
склон,846,10,#2abed1,space
ботинок,843,10,#ff69f2,tool:cloth:@boot
сумрак,842,10,#4c8d26,light
комочек,830,10,black,other
лужа,826,10,#2abed1,space
интервал,824,10,#8a4f42,dist
плед,823,10,#92d590,tool:@bedding
стратификация,802,10,black,other
спецодежда,795,10,black,other
обстановка,778,10,black,other
штаны,769,10,#af3e17,tool:cloth
плащ,766,10,#af3e17,tool:cloth
подкладка,760,10,#c93008,stuff
шкура,760,10,#9017d9,hum
тулуп,758,10,#af3e17,tool:cloth
стоянка,756,10,#2abed1,space
картуз,756,10,#224f41,tool
тень,722,10,#9017d9,hum
варежка,715,10,#af3e17,tool:cloth
туалет,711,10,#58901e,room
горница,708,10,#58901e,room
кабина,700,10,black,other
уют,700,10,black,other
сибирь,681,10,black,other
оранжерея,656,10,#43db59,room/constr
лиризм,645,10,black,other
брюки,628,10,#af3e17,tool:cloth
клозет,619,10,black,other
температура,608,10,#7085a9,temper/physiol
кровать,599,10,#632e34,tool:furn
коридор,565,10,#2abed1,space
постелька,552,10,black,other
золото,549,10,#9017d9,hum
рубашка,547,10,#c93008,stuff
волос,544,10,#c93008,stuff
пиджак,535,10,#af3e17,tool:cloth
кофточка,499,10,black,other
зимовка,497,10,#2abed1,space
лазурь,495,10,#c93008,stuff
барак,492,10,#ae7252,constr:@hut
конюшня,482,10,#43db59,room/constr
тембр,480,10,#888d4a,sound
широта,477,10,#2abed1,space
дождичек,472,10,black,other
гамма,462,10,black,other
кальсоны,454,10,#af3e17,tool:cloth
лес,450,10,#995bc7,form
часы,449,10,#530434,tool:device:@measur:metr
сено,449,10,#fb2c18,stuff/food:fodder
нора,443,10,#58901e,room
напутствие,443,10,#7ba3e3,speech
ночлег,441,10,#2abed1,space
зал,437,10,#58901e,room
дуновение,435,10,#ee539b,move
покой,430,10,#e8c356,psych/neg
интонация,425,10,#8206e7,asp:speech
сапожок,420,10,black,other
рубаха,415,10,#af3e17,tool:cloth
собор,412,10,#b8eabd,constr
домик,405,10,#9309c5,constr:@build
кан,389,10,black,other
туфля,389,10,black,other
взаимоотношение,387,10,#552824,inter
адвекция,379,10,black,other
занос,375,10,#2abed1,space
шубка,370,10,black,other
двор,370,10,#4732db,org
казарма,368,10,#b8eabd,constr
этап,364,10,#2abed1,space
антициклон,358,10,#577db1,weather
приют,354,10,#4732db,org
май,349,10,#7f25d8,time:month
подвал,349,10,#58901e,room
телеграмма,349,10,#ae1e98,text
ложе,343,10,#2abed1,space
костюм,342,10,#af3e17,tool:cloth
стойло,341,10,#2abed1,space
юрта,339,10,#b8eabd,constr
водоем,338,10,#5ddcb4,space/reservoir
подстилка,335,10,#c93008,stuff
салон,322,10,#58901e,room
бетон,321,10,#c93008,stuff
блиндаж,311,10,#b8eabd,constr
бассейн,309,10,#2abed1,space
болото,309,10,#2abed1,space
человечность,306,10,black,other
гольфстрим,305,10,black,other
бурка,304,10,#af3e17,tool:cloth
комнатка,304,10,black,other
мешок,304,10,#9017d9,hum
каюта,303,10,#58901e,room
кожух,302,10,#224f41,tool
связь,300,10,#552824,inter
одежа,299,10,black,other
убежище,295,10,#b8eabd,constr
режим,294,10,#e2f2bd,time?
кресло,294,10,#632e34,tool:furn
местообитание,292,10,black,other
жилет,292,10,#b92300,tool/tool:cloth$
окно,292,10,#1ac7ff,time
отрезок,291,10,#2abed1,space
крылышко,285,10,black,other
хранение,283,10,black,other
ткань,283,10,#c93008,stuff
полумрак,283,10,#4c8d26,light
шампанское,282,10,#00b7e6,stuff/food/liq
комбинезон,282,10,#af3e17,tool:cloth
перина,282,10,#92d590,tool:@bedding
сортир,279,10,#58901e,room
сарай,276,10,#ae7252,constr:@hut
отсвет,275,10,black,other
ванночка,275,10,black,other
ирония,275,10,#2ec004,psych
дымок,272,10,#c93008,stuff
ветвь,260,10,black,other
воротник,258,10,black,other
ватник,256,10,#af3e17,tool:cloth
остров,255,10,#2abed1,space
жена,254,10,#9017d9,hum
искорка,253,10,black,other
заря,252,10,#888d4a,sound
радушие,251,10,#5dbda0,humq
местность,250,10,#2abed1,space
избушка,249,10,black,other
башмак,247,10,#224f41,tool
полог,246,10,#224f41,tool
дымка,244,10,#c93008,stuff
молочко,243,10,black,other
номер,240,10,#57981c,sign/tool
пух,239,10,#79c5de,hair
мрамор,239,10,#c93008,stuff
тапочек,239,10,black,other
прослойка,237,10,#682522,group
берлога,236,10,#2abed1,space
ил,231,10,#c93008,stuff
усмешка,229,10,#adeec7,manif:emot
палатка,228,10,#b8eabd,constr
птица,227,10,#920dfc,hum$
кафтан,227,10,#af3e17,tool:cloth
изразец,226,10,black,other
бушлат,221,10,#af3e17,tool:cloth
пристанище,217,10,#2abed1,space
задушевность,215,10,black,other
логово,214,10,#2abed1,space
гребень,214,10,#83415f,форма
пижама,212,10,#af3e17,tool:cloth
покрывало,212,10,#92d590,tool:@bedding
шапочка,211,10,black,other
микроклимат,211,10,#c26f34,asp:weather
кора,210,10,#c93008,stuff
купе,210,10,#58901e,room
бот,209,10,#ff69f2,tool:cloth:@boot
существо,207,10,#eb264f,hum$/animal$/hum:supernat$/living
зелень,205,10,#3f56b0,food
лучик,204,10,black,other
чердак,200,10,#58901e,room
апрель,198,10,#7f25d8,time:month
январь,197,10,#7f25d8,time:month
заступница,197,10,black,other
крым,197,10,black,other
столовая,192,10,#4732db,org
сентябрь,190,10,#7f25d8,time:month
одеяние,189,10,black,other
сюртук,182,10,#af3e17,tool:cloth
нота,181,10,#98f38c,дополнитель
одеяльце,180,10,black,other
июнь,180,10,#7f25d8,time:month
пространство,176,10,#2abed1,space
будка,175,10,#43db59,room/constr
квас,175,10,#00b7e6,stuff/food/liq
ринг,172,10,#2abed1,space
жакет,172,10,#af3e17,tool:cloth
подоконник,171,10,black,other
покров,168,10,#92d590,tool:@bedding
туча,168,10,#e6753a,quant:max
белизна,167,10,#f425a7,color
свежесть,166,10,#200358,weather/temper
предисловие,165,10,#ae1e98,text
гряда,165,10,#995bc7,form
бревно,165,10,#224f41,tool
закуток,163,10,#2abed1,space
конура,162,10,#58901e,room
коровник,159,10,#9017d9,hum
гниль,158,10,#fd3508,stuff/food
общение,157,10,#552824,inter
укрытие,155,10,#2abed1,space
кацавейка,154,10,#af3e17,tool:cloth
ответ,153,10,#ae1e98,text
ванная,153,10,#58901e,room
лирика,152,10,black,other
камин,149,10,#2abed1,space
укутывание,149,10,black,other
нары,144,10,#632e34,tool:furn
рейтузы,144,10,#af3e17,tool:cloth
склад,143,10,#ae7252,constr:@hut
калоша,142,10,black,other
брюхо,142,10,#2abed1,space
пруд,141,10,#5ddcb4,space/reservoir
пенушка,141,10,black,other
кроватка,141,10,black,other
посол,140,10,#9017d9,hum
молитвенник,140,10,#ae1e98,text
клизма,138,10,#224f41,tool
лестница,138,10,#b8eabd,constr
тип,138,10,#9017d9,hum
полати,137,10,#5b71d2,space/tool:furn$
поддевка,137,10,#af3e17,tool:cloth
октябрь,136,10,#7f25d8,time:month
подъезд,133,10,#2abed1,space
клуб,132,10,#9309c5,constr:@build
август,132,10,#7f25d8,time:month
расположение,132,10,#2ec004,psych
фон,132,10,#97dac2,unit
кровля,132,10,black,other
овчина,132,10,#c93008,stuff
микрорайон,131,10,black,other
смех,128,10,#adeec7,manif:emot
стадия,128,10,black,other
днк,128,10,black,other
парк,126,10,#4732db,org
гроза,126,10,#577db1,weather
луна,125,10,#18bcb8,space/astr
мякоть,125,10,#c93008,stuff
каравай,124,10,#e4c75c,food/изделие
полость,123,10,#2abed1,space
кубрик,122,10,#58901e,room
товар,122,10,#5f5ade,thing
кашне,121,10,black,other
курточка,121,10,black,other
межледниковье,121,10,black,other
горизонт,119,10,#2abed1,space
сверток,118,10,black,other
доха,117,10,#af3e17,tool:cloth
прощание,117,10,#7ba3e3,speech
декабрь,117,10,#7f25d8,time:month
чрево,116,10,black,other
основа,115,10,black,other
ушанка,113,10,#af3e17,tool:cloth
одежка,113,10,black,other
класс,113,10,#d4249c,hier/param
ледник,113,10,#2abed1,space
шалаш,111,10,#b8eabd,constr
бриз,111,10,#577db1,weather
стелька,111,10,black,other
набрюшник,110,10,#224f41,tool
клубок,109,10,#3277f9,physiol:@painful
автограф,109,10,#ae1e98,text
залив,106,10,#5ddcb4,space/reservoir
местоположение,106,10,#d5c3e3,loc
подштанники,105,10,#af3e17,tool:cloth
улица,105,10,#2abed1,space
биосфера,104,10,#2abed1,space
словечко,103,10,black,other
безрукавка,103,10,#af3e17,tool:cloth
кепка,102,10,#af3e17,tool:cloth
чернота,102,10,black,other
бекеша,101,10,#af3e17,tool:cloth
здание,99,10,#b8eabd,constr
мох,99,10,#0f0f0c,plant
прель,98,10,black,other
пеленка,98,10,#005c4c,linen
валун,97,10,#e80025,stone
метель,95,10,#577db1,weather
норка,95,10,#c93008,stuff
тональность,94,10,#ff55e1,psych?
рукоятка,93,10,#224f41,tool
запись,92,10,#b26e28,doc
унт,92,10,black,other
рукавичка,92,10,black,other
звучание,92,10,#888d4a,sound
лагуна,91,10,#5ddcb4,space/reservoir
наушники,90,10,black,other
одежонка,90,10,black,other
уборная,89,10,#43db59,room/constr
полутьма,89,10,#4c8d26,light
платочек,89,10,black,other
экспозиция,89,10,#696451,param
ложбинка,88,10,#2abed1,space
тужурка,87,10,#af3e17,tool:cloth
попона,86,10,#7e9b47,tool:cloth$
колыбель,86,10,#2abed1,space
тряпка,85,10,#9017d9,hum
яма,84,10,#af5815,room/constr:@build
рукав,84,10,#224f41,tool
свечение,82,10,black,other
элемент,82,10,#c93008,stuff
омут,81,10,#2abed1,space
щечка,81,10,black,other
рецензия,80,10,#ae1e98,text
конденсация,80,10,#3e805c,changest
шубушка,80,10,black,other
спальня,79,10,#58901e,room
