noun,teplyj,goryachij,colour,code
лицо,325,2761,#6dd9dd,space
надежда,315,1679,#fcee1f,hum
глубина,315,43,#5a1fee,degr
синева,314,53,#ff1e0f,color
голова,312,23487,#fcee1f,hum
ребята,309,52,black,other
степь,303,457,#6dd9dd,space
бульон,302,1909,#b1be49,stuff/food/liq/блюдо
заступник,293,112,#fcee1f,hum
капот,290,73,black,other
припарка,287,253,#993517,stuff
статья,286,1060,#64e491,hier
металл,285,5708,#993517,stuff
утюг,279,3936,#f9d6ee,tool:device
кофе,264,9049,#390ede,plant
песочек,264,51,black,other
полдень,263,388,#6dd9dd,space
каша,258,2701,#eb0ad5,ment
пирожок,257,3101,#64d5ef,tool:cloth
мука,252,103,#993517,stuff
блик,249,54,#291e79,light
смесь,248,2260,#993517,stuff
нутро,246,71,#6dd9dd,space
послание,243,42,#0f81f1,text
марево,237,537,#993517,stuff
речка,234,49,#686ccc,space/reservoir
способ,229,3919,#905e93,asp
характер,226,1357,black,other
сила,225,652,#8d4371,quant:max
ощущение,219,64,#b7603b,psych
ухо,218,134,#863f85,tool
отблеск,217,55,black,other
волочение,216,265,black,other
картошка,215,4638,#390ede,plant
жижа,211,63,#a34bd5,stuff/liq
духовка,204,1826,#f9d6ee,tool:device
разговор,203,2832,#55521d,speech
лоб,200,4029,#fcee1f,hum
впечатление,197,306,#eb0ad5,ment
полотенце,195,71,#5b2167,linen/tool
пожатие,195,71,black,other
истома,194,53,#b7603b,psych
поле,193,691,#6dd9dd,space
кусок,187,556,black,other
нос,183,122,black,other
брызги,182,58,#993517,stuff
галька,181,519,#e5b41c,stone
печурка,180,54,#f9d6ee,tool:device
парок,179,70,black,other
счастие,173,99,black,other
глина,172,64,#993517,stuff
лед,166,393,#993517,stuff
июль,164,56,#839803,time:month
ручеек,164,129,black,other
мысль,160,971,#eb0ad5,ment
лист,160,79,#f16154,doc
хвоя,158,163,black,other
п,158,65,black,other
похлебка,158,1507,#ec52fe,stuff/food/liq
бензол,157,2182,#a34bd5,stuff/liq
час,157,1011,#8ebbdb,time:period
он,155,1202,#0eb470,hum:kin$/hum
влажность,155,54,black,other
усердие,153,235,#0516b0,behav
поцелуй,152,3478,#23c744,воздействие на человека
обращение,152,47,#0ef1cf,word
круг,150,53,#c7100b,form
асфальтобетон,149,123,black,other
булочка,149,282,black,other
ноздря,146,49,black,other
закат,144,52,#291e79,light
пламень,142,1686,black,other
рот,141,807,#fcee1f,hum
лоно,139,57,black,other
булка,139,57,#64381d,food/изделие
интерес,138,7054,#eb0ad5,ment
дрожь,138,236,#b28eca,physiol
перо,137,57,#a376c3,tool:instr
сироп,136,1209,#ec52fe,stuff/food/liq
стих,132,209,#70eb20,psych:emot?
родник,131,75,#22d35d,space/spring
буханка,130,95,#64381d,food/изделие
еда,129,2167,#0b9987,food
щи,128,3345,#ec52fe,stuff/food/liq
грелка,124,239,#863f85,tool
ручонка,123,64,black,other
ком,123,175,black,other
шепот,123,2738,#5762f1,sound
движение,122,74,#93e95a,move
желание,122,30704,#9b01d7,psych:volit
испарина,120,54,#993517,stuff
материя,119,43,#993517,stuff
пирог,119,1154,#64381d,food/изделие
пена,118,69,#993517,stuff
стекло,117,799,#993517,stuff
дорога,116,359,#93e95a,move
бедро,115,113,black,other
румянец,114,1168,#ff1e0f,color
локоть,113,59,#ec1b00,unit
ацетон,112,1162,#a34bd5,stuff/liq
точка,111,48643,#350655,предел
материал,111,1147,#993517,stuff
листва,109,48,black,other
пара,107,604,#2aa0f6,schoolmark
бурда,106,122,#ec52fe,stuff/food/liq
варево,106,640,#ec52fe,stuff/food/liq
учасие,106,455,black,other
трубка,105,55,#863f85,tool
слезинка,105,78,black,other
пот,104,3047,#993517,stuff
поддержка,103,25668,#23c744,воздействие на человека
начало,103,48,#905e93,asp
искра,99,794,#574b2e,manif
смола,99,2032,#fcee1f,hum
энергия,98,70,black,other
капелька,98,72,#fcee1f,hum
жалость,97,164,#a24c19,psych:emot
минута,95,1464,#ec1b00,unit
тесто,95,68,#993517,stuff
регион,94,52,#6dd9dd,space
осколок,92,677,black,other
порыв,91,2161,#5b1c39,impact
бутылка,90,351,#ec1b00,unit
спасибо,89,1145,#55521d,speech
денечек,88,601,black,other
эфир,84,106,#993517,stuff
фраза,83,120,#55521d,speech
теснота,82,68,#e7b288,physiol:@painful
взор,82,44,#805edb,ment?
чайник,81,1465,#fcee1f,hum
дно,80,46,black,other
женщина,78,79,#fcee1f,hum
сквозняк,77,44,#be0a6b,weather
ужин,76,1417,#0b9987,food
напиток,75,4800,#ec52fe,stuff/food/liq
броня,74,100,#993517,stuff
обработка,73,10019,black,other
пистолет,70,47,#958831,tool:weapon
радиатор,69,63,#f9d6ee,tool:device
строчка,67,48,#5b1c39,impact
пальчик,66,58,black,other
шум,65,50,#5762f1,sound
железо,62,1935,#993517,stuff
переписка,62,63,#7adbde,inter
звон,62,197,#55521d,speech
кусочек,62,44,black,other
метанол,61,1090,black,other
салфетка,61,107,#f7f800,linen
кольцо,61,107,#92b530,put
свинец,61,979,#993517,stuff
упование,61,185,#eb0ad5,ment
грунт,60,44,#993517,stuff
пустота,60,75,#6dd9dd,space
искренность,60,354,black,other
сталь,59,118,#993517,stuff
красота,59,66,black,other
борщ,58,1565,#b1be49,stuff/food/liq/блюдо
простыня,57,50,#14f365,tool:@bedding/linen
висок,56,117,black,other
волнение,56,265,#a24c19,psych:emot
биение,55,382,#1b9d9a,physiol?
парень,55,541,#0eb470,hum:kin$/hum
печень,55,52,black,other
уважение,55,67,#70eb20,psych:emot?
реакция,54,417,#b28eca,physiol
трепет,54,57,#a24c19,psych:emot
р,54,151,black,other
костер,53,64,#6dd9dd,space
аплодисменты,53,4022,#5762f1,sound
уголь,53,9586,#863f85,tool
жир,51,776,#993517,stuff
отделение,51,54,#8a10b7,org
толчок,49,223,#b183dd,причина
цех,48,22915,#8a10b7,org
компот,48,45,#ec52fe,stuff/food/liq
котлета,48,168,#8cae4c,food/блюдо
нрав,48,1131,black,other
тропинка,47,46,#6dd9dd,space
высказывание,46,72,#0f81f1,text
форма,46,257,#863f85,tool
затылок,46,64,#6dd9dd,space
пары,45,967,black,other
игла,45,56,#bec753,hair$
духота,45,47,#be0a6b,weather
храп,45,43,#6dd9dd,space
покрытие,45,73,#53338d,stuff/tool
гора,44,47,#6dd9dd,space
контакт,44,120,#06a502,contact
вещество,43,922,#993517,stuff
песня,43,43,#5762f1,sound
слюна,43,145,#a34bd5,stuff/liq
рассол,43,1105,#993517,stuff
вонь,43,54,black,other
скала,42,62,#6dd9dd,space
кружка,42,463,#863f85,tool
горло,42,48,black,other
они,41,100,black,other
головка,41,151,#97d2cc,group
въры,40,43,black,other
воз,40,58,#eb467b,tool:transp
я,40,101,#fcee1f,hum
