существительное	горячий	теплый	прил1 // прил2
стенка	1439	314	4
письмо	1432	5890	0
запах	1425	5336	0
ужин	1417	76	18
железо	1395	62	22
блеск	1358	773	1
краска	1337	1478	0
характер	1307	226	5
жидкость	1295	348	3
кирпич	1290	605	2
дым	1234	831	1
воск	1226	426	2
сироп	1209	136	8
привязанность	1190	188	6
язык	1182	575	2
румянец	1168	114	10
ацетон	1162	112	10
пирог	1154	119	9
материал	1147	111	10
баня	1136	497	2
нрав	1131	48	23
метанол	1090	61	17
забота	1083	1224	0
деформация	1053	192	5
компресс	1007	384	2
пара	988	190	5
свинец	979	61	16
капля	949	1203	0
похлебка	947	103	9
поверхность	945	439	2
огонь	936	922	1
полоса	935	281	3
струйка	903	1360	0
отношение	896	11552	0
небо	850	1503	0
беседа	846	819	1
среда	845	464	1
строка	836	1437	0
рот	807	141	5
душ	799	380	2
час	794	157	5
искра	794	99	8
радость	792	458	1
масса	785	2729	0
атмосфера	781	2201	0
жир	776	51	15
признательность	775	73	10
комок	736	442	1
слой	731	2674	0
голос	721	1821	0
снег	700	781	0
влага	688	1223	0
мысль	683	120	5
осколок	677	92	7
сторона	674	889	0
дух	665	1050	0
труба	647	545	1
рассол	646	43	15
денек	641	885	0
переход	601	812	0
денечек	601	88	6
плечо	597	1856	0
спина	588	350	1
сила	580	66	8
выражение	570	927	0
кто=SPRO,ед,муж,од=пр	558	123	4
кусок	556	187	2
кожа	543	771	0
парень	541	55	9
марево	537	237	2
жизнь	524	387	1
мясо	524	762	0
статья	523	286	1
галька	519	97	5
дождь	507	11954	0
период	503	44589	0
питие	475	466	1
лето	469	5388	0
ухо	459	218	2
настой	457	517	0
подушка	444	394	1
трава	438	1566	0
год	437	4226	0
ток	427	435	0
ручка	426	422	1
озеро	412	865	0
образ	410	353	1
ласка	409	792	0
ядро	408	1041	0
поле	406	79	5
встреча	400	5411	0
варево	394	62	6
лед	393	166	2
нога	389	487	0
полдень	388	263	1
вихорь	383	724	0
отвар	373	358	1
ветерок	364	5678	0
дорога	359	116	3
бутылка	351	90	3
ствол	336	532	0
капли	333	300	1
солнышко	327	1758	0
облако	321	1649	0
впечатление	306	197	1
припарка	304	176	1
вещество	299	43	6
прикосновение	290	552	0
грудь	288	268	1
булочка	282	149	1
месяц	281	13867	0
внимание	280	877	0
искренность	278	60	4
нежность	271	167	1
волнение	265	56	4
форма	257	46	5
мед	252	473	0
тьма	246	609	0
грелка	239	124	1
усердие	235	153	1
цветок	232	508	0
постель	229	1978	0
шея	228	829	0
часы	217	449	0
стих	209	132	1
отзыв	206	1462	0
звон	197	62	3
навоз	196	749	0
сияние	185	637	0
упование	185	61	3
река	180	988	0
очаг	179	736	0
цвет	179	740	0
темнота	177	864	0
почва	170	1018	0
водичка	169	659	0
дрожь	169	138	1
котлета	168	48	3
живот	165	519	0
толчок	163	49	3
головка	151	41	3
рукопожатие	150	364	0
слюна	145	43	3
грязь	142	88	1
тяжесть	142	189	0
воспоминание	140	6265	0
пойло	130	369	0
ручеек	129	164	0
улыбка	125	3469	0
звук	125	331	0
он=SPRO,ед,3-л,муж=им	123	79	1
асфальтобетон	123	149	0
доска	123	433	0
тон	122	4494	0
нос	122	183	0
бурда	122	106	1
ночь	122	5296	0
шапка	121	4648	0
контакт	120	44	2
фраза	120	83	1
водка	120	556	0
фронт	119	7528	0
зерно	117	312	0
сон	116	752	0
бок	114	2101	0
бедро	113	115	0
заступник	112	176	0
крыша	110	428	0
стекло	108	117	0
кольцо	107	61	1
салфетка	107	61	1
яйцо	106	337	0
эфир	106	84	1
мука	103	207	0
морда	97	537	0
буханка	95	130	0
ливень	95	1264	0
тишина	94	823	0
колено	92	546	0
женщина	79	78	1
лист	79	160	0
слезинка	78	105	0
пустота	75	60	1
родник	75	131	0
мрак	75	416	0
движение	74	122	0
капот	73	290	0
покрытие	73	45	1
батарея	72	407	0
мгла	72	692	0
капелька	72	98	0
высказывание	72	46	1
нутро	71	246	0
пожатие	71	195	0
пиво	71	934	0
полотенце	71	195	0
энергия	70	56	1
промывка	70	105	0
парок	70	179	0
пена	69	118	0
осень	69	2262	0
тесто	68	95	0
ручей	68	493	0
теснота	68	82	0
аромат	67	768	0
берег	67	461	0
проводы	67	393	0
страница	67	428	0
красота	66	59	1
глина	64	127	0
затылок	64	46	1
ручонка	64	123	0
ощущение	64	219	0
сок	63	419	0
жижа	63	108	0
переписка	63	62	1
радиатор	63	69	0
память	63	134	0
город	61	413	0
шерсть	61	218	0
водица	60	432	0
стена	59	835	0
локоть	59	113	0
плоть	59	192	0
грусть	59	621	0
тельце	59	578	0
пальчик	58	66	0
брызги	58	182	0
вагон	57	771	0
перо	57	137	0
лоно	57	72	0
булка	57	139	0
трепет	57	54	1
игла	56	45	1
июль	56	164	0
отблеск	55	217	0
трубка	55	105	0
жалость	55	57	0
блик	54	249	0
испарина	54	120	0
отделение	54	51	1
синева	53	314	0
круг	53	150	0
истома	53	194	0
ребята	52	309	0
машина	52	194	0
регион	52	94	0
испарение	52	383	0
закат	52	144	0
роса	52	399	0
песочек	51	264	0
юг	51	1497	0
счастие	51	109	0
шум	50	65	0
простыня	50	57	0
речка	49	183	0
дерево	49	467	0
степь	49	244	0
крыло	48	563	0
листва	48	109	0
горло	48	42	1
строчка	48	67	0
р	47	54	0
пистолет	47	70	0
гора	47	44	1
духота	47	45	1
солома	46	310	0
тропинка	46	47	0
край	46	11872	0
компот	45	48	0
броня	45	74	0
сквозняк	44	77	0
хвоя	44	82	0
грунт	44	60	0
взор	44	82	0
кусочек	44	62	0
глубина	43	315	0
храп	43	45	0
песня	43	43	1
они=SPRO,мн=им	43	41	1
послание	42	243	0
