noun,humid,damp,translation
dawn,145,520,рассвет
cold,145,4350,холодный
plant,142,245,завод
Monday,142,82,в понедельник
corner,139,2916,угол
tunnel,139,1215,тоннель
water,138,233,вода
acid,137,68,кислота
quality,136,134,качество
station,136,111,станция
week,135,96,неделя
pall,134,99,приесться
dungeon,134,3489,подземелье
container,133,55,контейнер
wing,131,533,крыло
cavern,130,1016,пещера
stone,130,9211,камень
marsh,130,585,марш
coolness,130,1398,крутость
depression,128,869,депрессия
environs,126,85,окрестность
gleam,126,128,блеск
end,123,599,конец
hair,121,33038,волос
border,120,319,граница
ravine,119,848,овраг
hydrogen,119,69,водород
odour,116,809,запах
factory,115,56,фабрика
Virginia,114,45,вирджиния
kind,114,153,вид
confines,111,165,предел
wilderness,111,139,пустыня
fire,110,494,огонь
material,110,2438,материал
cotton,110,5520,хлопок
sunlight,109,78,солнечный свет
vault,107,2408,хранилище
rice,106,290,рис
April,104,372,апрель
arm,104,595,рука
town,103,147,город
tongue,103,256,язык
gaze,102,55,взгляд
building,102,1071,дом
stench,100,196,зловоние
mouth,98,581,рота
October,93,559,октябрь
Tuesday,92,52,во вторник
coastland,91,85,приморье
softness,91,228,мягкость
oven,89,75,духовка
desert,89,102,пустыня
closeness,87,63,близость
trade,87,54,торговля
blackness,87,281,темнота
weight,84,459,вес
pine,83,863,сосна
glow,81,87,свечение
hothouse,81,63,тепличный
timber,80,622,лесоматериал
stream,80,152,поток
Northwest,80,50,северо-запад
prison,79,1405,тюрьма
range,79,46,диапазон
hollow,79,2610,полый
position,79,873,положение
beam,78,53,луч
deposit,78,127,депозит
embrace,77,426,объятие
green,77,306,зелёный
dust,77,1092,пыль
subsoil,76,313,недра
home,76,568,дом
freshness,76,408,свежесть
decay,75,380,распад
Fig,75,89,рис
hall,75,425,зал
cough,74,54,кашель
quarter,74,1026,четверть
sheet,73,9377,лист
paper,72,17427,бумага
appearance,72,299,внешний вид
clinging,71,156,жаться
work,70,257,работа
straw,69,5692,солома
flat,69,327,квартира
glass,68,627,стекло
fall,67,367,осень
growth,67,203,рост
dog,66,577,собака
shed,66,80,сарай
blast,65,181,взрыв
nest,65,285,гнездо
dell,64,125,компания dell
foliage,64,715,листва
edge,64,638,край
mine,63,678,шахта
perfume,63,125,дух
cabin,63,361,кабина
limestone,63,319,известняк
outdoors,62,126,на открытом воздух
wheat,62,470,пшеница
apartment,62,1020,квартира
fringe,61,195,бахрома
oak,61,826,дуб
crevice,60,708,щелевой
hell,60,88,ада
shelter,60,417,приют
hay,60,2279,сено
tonight,58,40,сегодня
wave,58,463,волна
Figure,58,48,рис.
San,58,62,сан
recess,58,829,амбразура
May,57,44,мочь
December,57,563,декабрь
flood,57,47,флуда
peat,57,2594,торф
bush,56,391,буш
undergrowth,56,613,подрост
finger,56,3472,палец
sample,56,178,образец
bottom,56,745,дно
office,55,65,офис
November,55,1216,ноябрь
tent,54,731,палатка
countryside,53,171,сельской местность
touch,53,418,сенсорный
exposure,53,51,экспозиция
enclosure,53,98,корпус
niche,52,81,ниша
aroma,52,125,аромат
canyon,51,183,каньон
gallery,51,234,галерея
filter,50,1423,фильтр
dream,50,45,мечта
pocket,50,545,карман
hole,49,2238,отверстие
lake,49,103,озеро
furnace,49,52,печь
thicket,49,970,чаща
bottomland,48,106,заливное
discomfort,48,255,дискомфорт
heart,48,179,сердце
February,47,387,февраль
mud,47,2607,грязь
sleep,46,118,сон
case,46,60,дело
gorge,46,220,ущелие
fold,45,1130,фолд
bedroom,45,305,спальня
nostril,45,163,ноздря
March,44,451,март
dark,44,211,тёмный
patch,44,9286,патч
drizzle,44,346,морось
tundra,43,149,тундра
hallway,43,217,коридор
sirocco,43,43,сирокко
feeling,42,873,чувство
sort,42,187,сортировать
tangle,42,621,клубок
expanse,42,76,раздолье
horror,41,232,ужас
warehouse,41,440,склад
gust,41,1034,порыв
London,41,427,лондон
star,40,48,звезда
grotto,40,351,грот
subtropics,2144,0,субтропики
volume,788,0,объесть
asthma,770,0,астма
Tropics,738,0,тропик
bow,603,0,лука
pampa,595,0,пампа
mid,528,0,середина
Washington,449,0,вашингтон
east,424,0,восток
West,419,0,запад
farming,404,0,сельское хозяйство
temperament,399,0,темперамент
pampas,397,0,пампасы
train,385,0,поезд
Southeast,372,0,юго-восток
tract,368,0,тракт
episode,361,0,эпизод
nightblue,348,0,nightblue
cycle,322,0,цикл
conductor,322,0,дирижёр
savannah,300,0,саванна
weathering,300,0,выветривание
Amazon,298,0,амазонка
assay,298,0,анализ
interval,293,0,интервал
transition,284,0,переход
boundary,251,0,граница
eruption,250,0,извержение
province,249,0,провинция
Chaco,223,0,чако
west,223,0,запад
division,218,0,отдел
Midwest,212,0,мидвест
regime,208,0,режим
ity,202,0,ити
Texas,201,0,техас
principle,199,0,принцип
southeast,198,0,юго-восток
micro,195,0,микро
Pampa,191,0,пампа
aging,187,0,старение
epoch,186,0,эпоха
gangrene,185,0,гангрена
Africa,182,0,африка
maze,181,0,лабиринт
ecosystem,181,0,экосистема
nitrogen,179,0,азот
incubator,179,0,инкубатор
Eastern,176,0,восточный
agriculture,175,0,сельское хозяйство
Pampas,174,0,пампасы
Houston,168,0,хьюстон
tetter,168,0,экзема
States,165,0,государство
Mississippi,165,0,миссисипи
catchment,163,0,водосбор
Northeast,159,0,северо-восток
fan,156,0,вентилятор
sub,150,0,суб
equatorial,149,0,экваториальный
tropical,145,0,тропический
formation,143,0,формирование
steppe,143,0,степной
landforms,142,0,формы рельеф
exhaust,139,0,выхлоп
microthermal,137,0,microthermal
microclimates,137,0,микроклимат
gloss,136,0,лоск
territory,133,0,территория
Transition,132,0,переход
ambient,132,0,окружающей среда
influence,131,0,влияние
United,129,0,организация
midsummer,129,0,лиго
aspect,125,0,аспект
airstream,124,0,эйрстрим
bubble,124,0,пузырь
microhabitats,118,0,микросреда
variant,118,0,вариант
pearl,117,0,жемчужина
headwater,115,0,исток
microenvironment,114,0,микросреда
Central,114,0,центральный
sector,113,0,сектор
Humid,110,0,влажный
analysis,108,0,анализ
tenderness,107,0,нежность
degree,105,0,степень
temperate,104,0,умеренно
karst,103,0,карст
effect,102,0,эффект
biotopes,99,0,биотоп
Philadelphia,99,0,филадельфия
gale,98,0,гейл
mT,95,0,том
terrarium,94,0,террариум
America,94,0,америка
vesture,94,0,одежда
crackling,94,0,потрескивание
Georgia,93,0,грузия
Miami,92,0,майами
foothill,91,0,предгорный
circumstance,91,0,обстоятельство
Bow,91,0,лука
midlatitudes,91,0,умеренных широт
drainage,90,0,дренаж
lustre,90,0,блеск
erosion,90,0,эрозия
weaving,90,0,сотка
brightness,90,0,яркость
past,89,0,последний
Wednesday,87,0,в среда
versus,86,0,против
northwest,85,0,северо-запад
incense,81,0,фимиам
Guinea,80,0,гвинея
glance,80,0,взгляд
variety,79,0,разнообразие
scall,78,0,паршивость
midday,77,0,полдень
specie,77,0,вид
southwest,77,0,юго-запад
capital,76,0,капитал
Zones,76,0,зона
system,76,0,система
Middle,75,0,средний
Iowa,75,0,айова
mesothermal,75,0,mesothermal
middle,75,0,средний
Chicago,73,0,чикаго
Thursday,72,0,в четверг
inland,71,0,внутренний
Missouri,71,0,миссури
nymph,71,0,нимфа
latitude,70,0,широта
Europe,69,0,европа
source,69,0,источник
vallies,69,0,долина
premontane,69,0,premontane
neotropics,68,0,неотропик
glasshouse,68,0,оранжерея
Semi,67,0,пол
Mediterranean,67,0,средиземное мор
Indian,66,0,индийский
coastline,65,0,береговая линия
locale,64,0,язык
Coastal,64,0,прибрежный
planet,62,0,планета
ray,62,0,рэй
damp,62,0,сыро
semi,62,0,пол
noon,61,0,полдень
Echo,61,0,эхо
gulf,60,0,залив
paramo,60,0,парамо
vehicle,59,0,автомобиль
cli,59,0,кинк
constitution,59,0,конституция
laboratory,58,0,лаборатория
flora,58,0,флор
complexion,58,0,цвет лицо
littoral,58,0,литораль
swampland,57,0,херить
steed,57,0,стид
Indiana,57,0,индиана
ification,57,0,работа
flatlands,56,0,равнина
Zone,55,0,зона
Delta,55,0,дельта
Congo,55,0,конго
weekend,55,0,выходной
radiance,54,0,сияние
Climate,54,0,климат
Evening,54,0,вечером
Lower,54,0,ниже
Black,53,0,чёрный
Asia,53,0,азия
Australia,52,0,австралия
dampness,52,0,сырость
montane,51,0,горный
port,51,0,порт
microenvironments,51,0,микросреда
operating,51,0,рабочий
conservatory,51,0,консерватория
calm,50,0,спокойный
Western,50,0,западный
Japan,50,0,япония
torpor,49,0,отупение
Softness,48,0,мягкость
Atlantic,48,0,атлантика
interglacials,48,0,межледниковья
textile,48,0,текстиль
Table,48,0,таблица
Hong,48,0,гонконг
Ohio,48,0,огайо
application,48,0,приложение
elevation,48,0,высота
Bombay,47,0,бомбей
brilliancy,46,0,блеск
Tokyo,46,0,токио
farm,46,0,ферма
flow,46,0,поток
rainfall,46,0,количество осадок
languor,45,0,истома
Baltimore,45,0,балтимор
Atlanta,45,0,атлант
glare,44,0,блик
westerly,44,0,уэстереть
gallantry,44,0,галантность
classroom,44,0,класс
adj,44,0,прил
production,44,0,производство
lid,42,0,крышка
Alabama,42,0,алабама
moon,41,0,луна
Singapore,41,0,сингапур
Lancashire,41,0,ланкашир
Carolina,41,0,каролина
Boston,41,0,бостон
cloth,10,89755,ткань
towel,10,24080,полотенце
sponge,10,16889,губка
clothes,10,14313,одежда
rag,10,10107,тряпочка
forehead,10,8665,лоб
squib,10,7453,петарда
palm,10,5673,ладонь
clothing,10,5335,одежда
curl,10,5126,завиток
cheek,10,4623,щека
proof,10,4594,доказательство
course,10,4429,конечно
washcloth,10,4409,мочалка
handkerchief,10,4308,платочек
shirt,10,4078,рубашка
brow,10,3751,чело
plaster,10,3401,штукатурка
wool,10,3330,шерсть
foot,10,3161,нога
strand,10,3014,сумка
brush,10,2762,щётка
sawdust,10,2690,опилка
linen,10,2657,бельё
tendril,10,2494,усик
stain,10,2480,пятно
snow,10,2479,снег
piece,10,2447,кусок
pavement,10,2445,тротуар
newspaper,10,2253,газета
coat,10,2172,пальто
powder,10,2127,порошок
tissue,10,2069,ткань
tea,10,1989,чаять
brick,10,1938,кирпич
mop,10,1876,швабра
head,10,1830,глава
grain,10,1806,зерно
dirt,10,1796,грязь
leather,10,1670,кожа
dish,10,1582,блюдо
log,10,1568,журнал
fabric,10,1553,ткань
mould,10,1509,плесень
garment,10,1469,одежда
flannel,10,1423,фланель
sphagnum,10,1383,сфагнум
shoulder,10,1354,плечо
sock,10,1353,носка
shoe,10,1341,обувь
lock,10,1333,замок
lawn,10,1322,газон
path,10,1321,путь
napkin,10,1316,салфетка
neck,10,1306,шея
penetration,10,1280,проникновение
nose,10,1268,нос
fur,10,1212,мех
pillow,10,1204,подушка
bread,10,1191,хлеб
passage,10,1178,проход
cement,10,1173,цемент
concrete,10,1149,бетон
turf,10,1141,дерновина
nook,10,1111,закутка
ash,10,1103,ясень
dwelling,10,1102,жилища
cheesecloth,10,1083,марля
blotting,10,1069,промокательный
chest,10,1035,грудь
bedding,10,995,постельные принадлежность
boot,10,951,загрузка
weed,10,939,сорняк
road,10,937,дорога
cloak,10,917,плащ
explosion,10,913,взрыв
rot,10,893,сгнить
gauze,10,881,марлевый
skirt,10,875,юбка
cardboard,10,874,картон
board,10,870,доска
sod,10,867,дерновый
trail,10,860,след
circle,10,858,круг
soul,10,852,душить
wash,10,848,мыть
fuel,10,847,топливо
carpet,10,844,ковёр
match,10,837,матч
gravel,10,829,гравий
church,10,824,церковь
T,10,821,том
dress,10,817,платье
grave,10,815,могила
cottage,10,814,коттедж
housing,10,810,жильё
closet,10,800,гардероб
mark,10,798,марк
ditch,10,792,кювета
sack,10,783,мешок
dew,10,769,роса
ringlet,10,748,колечко
stick,10,732,палка
proofing,10,731,расстойка
canvas,10,727,холст
coldness,10,725,холодность
jacket,10,714,куртка
press,10,713,пресс
laundry,10,713,прачечный
coal,10,712,уголь
burlap,10,708,мешковина
step,10,702,шаг
bark,10,700,кора
problem,10,681,проблема
silk,10,679,шёлк
muslin,10,675,муслин
trench,10,668,тренч
cigarette,10,663,сигарета
string,10,655,строка
stocking,10,647,чулок
ball,10,645,мяч
print,10,643,печать
wisp,10,641,огонёк
footprint,10,639,след
hut,10,637,избушка
mattress,10,634,матрас
litter,10,633,сорить
mold,10,631,плесень
jean,10,627,жан
sleeve,10,625,рукав
trouser,10,618,пресс длить
seaweed,10,610,водоросль
feel,10,606,чувствовать
bathing,10,584,купание
ring,10,583,кольцо
beach,10,571,пляж
leg,10,568,нога
seat,10,565,место
dishcloth,10,553,кухонное полотенца
gunpowder,10,551,порох
wad,10,550,вад
loam,10,549,суглинок
tobacco,10,547,табачными изделия
mortar,10,545,ступка
alley,10,544,аллея
pad,10,542,коврик
page,10,541,страница
deck,10,538,палуба
pit,10,526,ям
bundle,10,522,комплект
pile,10,520,шпунт
underwear,10,516,нижнее бельё
flag,10,513,флаг
duster,10,513,дастер
heap,10,509,куча
sidewalk,10,499,тротуарный
blotter,10,495,промокашка
fern,10,493,ферна
feather,10,488,перо
hovel,10,488,хибара
sleeping,10,485,спать
lash,10,482,плётка
bench,10,479,скамейка
out,10,477,из
washing,10,474,стиральный
overcoat,10,471,пальто
object,10,471,объект
raincoat,10,469,дождевик
bath,10,469,ванна
book,10,466,книга
streak,10,462,стрик
compress,10,460,компресс
twig,10,458,прутик
gully,10,457,галли
humus,10,453,перегной
track,10,453,трек
cupboard,10,448,шкаф
suit,10,448,костюм
seed,10,447,семя
Fell,10,447,упасть
line,10,446,линия
dishtowel,10,445,полотенце для посуд
mopping,10,444,зачистка
bag,10,442,сумка
asphalt,10,441,асфальт
firework,10,436,фейерверк
root,10,432,корень
clump,10,429,комок
curtain,10,426,занавес
woolen,10,426,шерстяной
cast,10,426,литой
sacking,10,425,мешковина
roof,10,416,крыша
vermiculite,10,412,вермикулит
ceiling,10,410,потолок
sugar,10,410,сахар
panty,10,399,трусик
breast,10,399,грудь
walk,10,395,прогулка
sheen,10,395,блеск
flour,10,392,мука
indicator,10,389,индикатор
tile,10,389,плитка
cushion,10,386,подушка
chamois,10,384,замша
court,10,383,суд
temple,10,383,храм
food,10,382,еда
smoke,10,381,дым
branch,10,381,филиал
swab,10,378,тампон
thigh,10,377,бедро
umbrella,10,376,зонтик
mother,10,374,мать
substrate,10,372,субстрат
copy,10,371,копия
tomb,10,369,могила
courtyard,10,368,внутренний двор
muzzle,10,367,мордочка
lane,10,365,переулок
firewood,10,364,дрова
living,10,364,жизнь
uniform,10,353,униформа
masonry,10,349,кладка
rope,10,349,верёвка
hide,10,349,скрыть
lodging,10,346,размещение
bang,10,344,банг
dressing,10,343,выделка
cobblestone,10,341,булыжник
mat,10,339,мат
hold,10,336,держать
park,10,334,парк
paint,10,333,краска
film,10,333,фильм
charcoal,10,332,уголь
abode,10,331,обитель
dusting,10,331,пылиться
hillside,10,330,хиллсайда
stable,10,328,стабильный
collar,10,327,воротник
foundation,10,325,фонд
draft,10,320,проект
cover,10,320,крышка
glove,10,320,перчатка
tress,10,319,тресс
cigar,10,317,сигара
blouse,10,317,блуза
shroud,10,313,саван
flake,10,310,хлопь
heath,10,308,хит
sweater,10,307,свитер
corn,10,306,кукуруза
compost,10,304,компост
pant,10,303,брюки
flagstone,10,303,плитняк
bar,10,299,бар
pebble,10,297,камушек
chilliness,10,297,зябкость
underfoot,10,296,под нога
herbage,10,291,травостой
apron,10,289,фартук
draught,10,289,разливный
barn,10,287,сарай
rubber,10,285,резина
soot,10,284,сажи
paste,10,283,вставить
stranger,10,282,незнакомец
bit,10,281,немного
misery,10,281,убожество
boat,10,280,лодка
lump,10,276,шишка
diaper,10,274,памперс
armpit,10,273,подмышка
mound,10,271,курган
rush,10,271,раш
aggregate,10,271,совокупный
firecracker,10,270,петарда
wallpaper,10,270,обои
gown,10,269,платье
swimsuit,10,269,купальник
robe,10,267,халатик
membrane,10,267,мембрана
back,10,266,назад
waste,10,265,отход
passageway,10,264,проход
imprint,10,260,отпечаток
clod,10,260,кома
marble,10,260,мрамор
impression,10,259,впечатление
table,10,258,таблица
window,10,254,окно
Kleenex,10,249,клинекс
fingertip,10,249,оксиметр
cake,10,248,торт
crack,10,248,трещина
castle,10,246,замок
cobble,10,245,булыжник
mustiness,10,242,затхлость
oakwood,10,242,отель oakwood
rug,10,241,ковёр
bog,10,240,болотник
stuff,10,240,вещий
covering,10,239,покрытие
article,10,239,статья
attic,10,239,чердак
yard,10,238,двор
paw,10,237,лапа
hessian,10,237,мешковина
spray,10,237,спреть
faggot,10,236,педик
cliff,10,234,скала
death,10,233,смерть
paintbrush,10,232,кисть
stair,10,230,лестница
pot,10,230,горшок
voice,10,229,голос
facecloth,10,228,мочалка
brickwork,10,226,кирпичная кладка
cheese,10,226,сыр
vegetable,10,226,овощ
square,10,226,площадь
metal,10,225,металл
quilt,10,225,одеяло
slab,10,225,сляб
plank,10,223,планк
foam,10,223,пена
trunk,10,223,багажник
hedge,10,223,хедж
coffee,10,222,кофе
spike,10,221,спайк
fiber,10,221,волокно
habitation,10,219,жильё
drop,10,219,падение
moor,10,218,моор
magazine,10,217,журнал
plate,10,217,плита
short,10,217,короткий
bill,10,216,билл
level,10,216,уровень
January,10,216,январь
Moist,10,216,влажный
furrow,10,215,борозда
hat,10,215,шляпа
dugout,10,211,блиндаж
bandage,10,211,бандаж
mess,10,210,беспорядок
obscurity,10,208,безвестность
ore,10,207,руда
debris,10,207,мусор
ledge,10,207,выступ
curve,10,207,кривая
splotch,10,206,пятно
good,10,205,хорошо
garage,10,205,гараж
baby,10,204,ребёнок
mix,10,203,микс
pack,10,202,пакет
kennel,10,202,питомник
block,10,202,блок
handshake,10,201,рукопожатие
biscuit,10,199,бисквит
fist,10,198,кулак
bone,10,198,костя
ink,10,198,чернила
velvet,10,197,бархат
bunk,10,197,двухъярусный
manure,10,197,навоз
shop,10,196,магазин
graf,10,196,граф
thread,10,195,нить
heather,10,195,хизер
envelope,10,195,конверт
present,10,194,присутствовать
comb,10,194,гребень
tip,10,193,совет
shelf,10,193,полка
bedclothes,10,192,постельное бельё
newsprint,10,192,газетная бумага
stretch,10,192,стрейч
cavity,10,191,полость
packing,10,191,упаковка
roadside,10,191,придорожный
trace,10,191,след
phlegm,10,190,флегма
thatch,10,190,тэтч
barrack,10,190,барак
crotch,10,189,промежность
saddle,10,189,седло
lime,10,189,известь
sweetness,10,186,сладость
vibration,10,186,вибрация
jail,10,185,тюрьма
ride,10,184,ездить
gentleman,10,184,джентльмен
swale,10,184,свалить
iron,10,183,утюг
shawl,10,183,шаль
horse,10,183,лошадь
dishrag,10,183,амёба
retreat,10,182,отступление
meat,10,181,мясо
Commission,10,181,комиссия
cloister,10,180,монастырь
eyelash,10,180,ресница
smile,10,180,улыбка
rail,10,179,железнодорожный
reed,10,178,рид
greenness,10,178,зеленость
coil,10,178,катушка
sound,10,177,звук
glade,10,177,поляна
woollen,10,176,шерстяной
tweed,10,175,твид
bivouac,10,175,бивуак
base,10,175,база
staircase,10,174,лестница
pressure,10,172,давление
doorstep,10,171,порог
cleaning,10,171,чистка
cottonwool,10,171,ватный
broom,10,170,брум
bottle,10,170,бутылка
perspiration,10,169,пот
crawl,10,169,ползать
cleft,10,169,заячий
terry,10,169,терри
fly,10,169,летать
nightgown,10,167,ночнушко
fuse,10,167,взрыватель
letter,10,167,письмо
sheep,10,167,овца
Air,10,167,воздух
rise,10,166,рост
pattern,10,165,шаблон
hotel,10,165,отель
tinder,10,165,трутовик
pair,10,164,пара
word,10,162,слово
absorbent,10,161,абсорбент
cool,10,161,круто
litmus,10,159,лакмус
curing,10,158,лечить
arch,10,158,арка
core,10,158,основной
denim,10,158,денить
spread,10,157,распространение
people,10,157,человек
beard,10,157,борода
chalk,10,157,мел
reek,10,156,вонючка
granite,10,155,гранит
khaki,10,155,хаки
product,10,155,продукт
crystal,10,154,кристалл
evil,10,154,зло
sail,10,153,парус
obstruction,10,153,непроходимость
limb,10,153,лимб
kindling,10,153,растопка
toweling,10,153,затирка
underside,10,152,испод
washrag,10,152,мочалка
clearing,10,152,очистка
underneath,10,151,под
steel,10,151,сталь
mulch,10,151,мульча
cedar,10,150,кедр
roll,10,149,ролл
crypt,10,149,крипта
parchment,10,149,пергамент
chimney,10,149,дымоход
pipe,10,148,труба
greenery,10,148,зелень
center,10,148,центр
owing,10,147,благодаря
note,10,147,примечание
den,10,147,ден
shrubbery,10,147,кустик
shingle,10,147,гонт
grip,10,147,сцепление
mantle,10,146,мантия
wrapping,10,146,накрутка
bowel,10,146,кишечник
spruce,10,145,есть
petal,10,145,лепесток
copse,10,144,перелеска
grasp,10,144,понять
child,10,144,ребёнок
lace,10,143,кружево
blood,10,143,кровь
dough,10,143,бабла
moonlight,10,143,лунный свет
nipple,10,143,ниппель
substratum,10,143,субстрат
pulp,10,140,мякоть
starch,10,140,крахмал
grove,10,140,роща
origin,10,140,происхождение
potato,10,140,картофель
stove,10,140,плита
crust,10,140,корочка
flank,10,140,бочок
chemise,10,139,сорочка
pool,10,139,бассейн
ruin,10,139,разорение
misty,10,139,мисти
scrap,10,138,лом
kerchief,10,138,косынка
thumb,10,137,большой палец
knee,10,136,колено
cracker,10,136,шутиха
sensation,10,135,ощущение
storeroom,10,135,склад
residue,10,133,выпарка
creep,10,133,ползучесть
item,10,133,пункт
tunic,10,133,туника
scarf,10,133,шарф
ship,10,133,корабль
animal,10,133,животный
chip,10,133,чип
casemates,10,132,каземат
despondency,10,132,уныние
toilet,10,132,туалет
hem,10,131,подол
paving,10,130,общестроительных работ по строительство
cap,10,130,крышка
package,10,130,пакет
cellulose,10,130,целлюлоза
cause,10,129,причина
premise,10,129,помещение
couch,10,129,диван
fir,10,129,пихта
silver,10,129,серебро
ear,10,129,ухо
sediment,10,128,осадка
silt,10,128,ил
furniture,10,128,мебель
fibre,10,128,волокно
scalp,10,128,скальп
drive,10,127,диск
accumulation,10,127,накопление
willow,10,127,уиллоу
sneaker,10,126,тапка
bandanna,10,126,бандан
underbrush,10,126,подлесок
insulation,10,126,изоляция
throat,10,126,горло
bran,10,125,отруби
feed,10,125,кормить
puddle,10,125,лужа
ocean,10,125,океан
rotting,10,124,загнивание
comrade,10,124,товарищ
scrub,10,124,скраб
refuse,10,124,отказать
fish,10,124,рыба
asbestos,10,123,асбест
bracken,10,123,бракен
overall,10,123,в целое
mane,10,123,мане
solid,10,123,твёрдый
fragment,10,122,фрагмент
eyelid,10,122,веко
caress,10,121,приласкать
churchyard,10,121,погост
pajama,10,121,пижамный
crag,10,120,крага
journey,10,120,путешествие
boulder,10,120,боулдёр
sedge,10,120,осока
avenue,10,120,проспект
contact,10,120,контакт
cork,10,120,корк
rubbish,10,119,мразь
blade,10,119,лезвие
tenement,10,119,многоквартирный
woman,10,119,женщина
crowd,10,119,толпа
aisle,10,119,междурядье
electrode,10,119,электрод
